place_name,category_name,address_name,place_url,분류
올리브영 무교동점,"가정,생활 > 드럭스토어 > 올리브영",서울 중구 무교동 12-1,http://place.map.kakao.com/883805153,쇼핑
올리브영 한성대입구역점,"가정,생활 > 드럭스토어 > 올리브영",서울 성북구 삼선동1가 25,http://place.map.kakao.com/1650877136,쇼핑
롯데백화점 본점,"가정,생활 > 백화점 > 롯데백화점",서울 중구 소공동 1,http://place.map.kakao.com/7858517,쇼핑
신세계백화점 본점 더 리저브,"가정,생활 > 백화점 > 신세계백화점",서울 중구 충무로1가 52-5,http://place.map.kakao.com/7969138,쇼핑
롯데에비뉴엘 본점,"가정,생활 > 백화점 > 롯데백화점",서울 중구 소공동 7,http://place.map.kakao.com/27436903,쇼핑
신세계백화점 본점 디 에스테이트,"가정,생활 > 백화점 > 신세계백화점",서울 중구 충무로1가 54,http://place.map.kakao.com/18217490,쇼핑
신세계백화점 본점 더헤리티지,"가정,생활 > 백화점 > 신세계백화점",서울 중구 충무로1가 53-1,http://place.map.kakao.com/361141033,쇼핑
파소티 롯데백화점본점,"가정,생활 > 백화점 > 롯데백화점",서울 중구 소공동 1,http://place.map.kakao.com/1278908484,쇼핑
롯데영플라자 본점(휴업중),"가정,생활 > 백화점",서울 중구 소공동 29-1,http://place.map.kakao.com/8315153,쇼핑
NC백화점 불광점,"가정,생활 > 백화점 > NC백화점",서울 은평구 대조동 240,http://place.map.kakao.com/18342865,쇼핑
현대백화점 미아점,"가정,생활 > 백화점 > 현대백화점",서울 성북구 길음동 20-1,http://place.map.kakao.com/8156625,쇼핑
NC 디파트먼트스토어,"가정,생활 > 백화점",서울 은평구 대조동 240,http://place.map.kakao.com/20535629,쇼핑
종로3가 귀금속도매백화점,"가정,생활 > 패션 > 보석,귀금속",서울 종로구 종로3가 28-2,http://place.map.kakao.com/26121387,기타
종묘귀금속전문백화점,"가정,생활 > 패션 > 보석,귀금속",서울 종로구 종로4가 30,http://place.map.kakao.com/8064791,기타
서원서예백화점,"가정,생활 > 문구,사무용품",서울 종로구 경운동 47-1,http://place.map.kakao.com/9876058,기타
선교기독교백화점,"문화,예술 > 종교 > 종교용품판매점",서울 종로구 창신동 215,http://place.map.kakao.com/20550752,문화생활
토속촌삼계탕,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",서울 종로구 체부동 85-1,http://place.map.kakao.com/26545925,음식점
진옥화할매원조닭한마리 본점,"음식점 > 한식 > 육류,고기 > 닭요리",서울 종로구 종로5가 265-22,http://place.map.kakao.com/10785496,음식점
혜화칼국수,음식점 > 한식 > 국수 > 칼국수,서울 종로구 혜화동 84-3,http://place.map.kakao.com/8176347,음식점
종로할머니칼국수 종로본점,음식점 > 한식 > 국수 > 칼국수,서울 종로구 돈의동 49-1,http://place.map.kakao.com/8034231,음식점
